Probe-adaptive test-time budget allocation, N=288 prompts
Total budget = K_avg * N

K_avg   budget     uniform    adaptive   thresh@0.5   thresh@0.8  thresh@0.95
    1.0      288      0.7188      0.7188       0.7188       0.7188       0.7188
    2.0      576      0.7951      0.7986       0.8125       0.8160       0.8160
    4.0     1152      0.8056      0.8299       0.8229       0.8264       0.8299
    6.0     1728      0.8090      0.8264       0.8229       0.8264       0.8299
    8.0     2304      0.8090      0.8194       0.8229       0.8264       0.8299
   12.0     3456      0.8125      0.8229       0.8229       0.8264       0.8299
   16.0     4608      0.8229      0.8229       0.8229       0.8264       0.8299

At K_avg=4, adaptive: min=1, max=16, mean=4.00, n_capped=43
